TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
 House for Rent,"Samakhusi, Kathmandu",Rs. 1.6 Lac/m,10.0 aana,0 Sq. Ft.,14 Feet,East,3,6,6,2076 B.S,3 CaRs.  & 5 Bikes,"['Dining Room', 'Bed Room', 'Bathroom', 'Maid Room', 'Living Room', 'Guest Room', 'Family Room', 'Master Bedroom', 'Modular Kitchen', 'Earthquake Resistant', 'Drinking Water']"
 House for Sale,"Sitapaila, Kathmandu",Rs. 5.5 Cr ,6.0 aana,,20 Feet,West,2.5,6,3,2073 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Garden', 'Balcony', 'Drinking Water', 'Parking', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Dining Room', 'Bed Room']"
 House for Sale,"Gongabu, Kathmandu",Rs. 6 Cr ,7.1 aana,,12 Feet,North,5,10,6,2076 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bathroom', 'Living Room', 'Modular Kitchen']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.8 Cr ,3.0 aana,,13 Feet,North,2.5,5,4,2069 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Ochu Height, Lalitpur",Rs. 2.75 Cr ,3.1 aana,,13 Feet,North,3,6,5,2078 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Gwarko, Lalitpur",Rs. 2.95 Cr ,3.2 aana,,13 Feet,South,2.5,5,4,2073 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Lubhu, Lalitpur",Rs. 1.95 Cr ,2.3 aana,,23 Feet,West,3,5,6,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']"
 House for Sale,"Lalitpur, Lalitpur",Rs. 2.7 Cr ,3.2 aana,,13 Feet,South,2.5,5,4,2061 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.8 Cr ,4.0 aana,,16 Feet,East,2.5,6,4,2069 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bathroom', 'Living Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,3.0 aana,,14 Feet,East,2.5,3,3,2071 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bathroom', 'Bed Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,3.2 aana,,13 Feet,East,3,5,5,2079 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Bathtub', 'Power Backup', 'Bed Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,3.2 aana,,13 Feet,East,2.5,4,4,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Balcony', 'Drainage', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
Villa House for Sale,"Bhaisepati, Lalitpur",Price on call,22.0 aana,,14 Feet,West,2.5,5,6,2073 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 4.5 Cr ,5.0 aana,,13 Feet,East,3,4,4,2076 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
4 BHK House for Sale,"Dhapasi, Kathmandu",Rs. 2.25 Cr ,2.3 aana,,13 Feet,North-West,2.5,4,2,2069 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
Bungalow House for Sale,"Golfutar, Kathmandu",Rs. 2.60 Cr ,3.0 aana,,14 Feet,East,2,5,5,2070 B.S,4 CaRs.  & 5 Bikes,"['Garden', 'Parking', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Marbel', 'Parquet', 'Drainage', 'Reserve Tank']"
 House for Rent,"Mandikhatar, Kathmandu",Rs. 1.7 Lac/m,18.0 aana,,14 Feet,North,2.5,5,4,2072 B.S,4 CaRs.  & 5 Bikes,"['Parking', 'Drinking Water', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
 House for Rent,"Chapali, Kathmandu",Rs. 1.85 Lac/m,23.0 aana,,14 Feet,North,2.5,5,4,2072 B.S,4 CaRs.  & 5 Bikes,"['Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Guest Room', 'Modular Kitchen']"
 House for Rent,"Chundevi, Kathmandu",Rs. 3 Lac/m,16.0 aana,,16 Feet,,3.5,5,3,2069 B.S,,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Reserve Tank', 'Balcony', 'Bathtub', 'Bed Room']"
House for Sale,"Dadhikot, Bhaktapur",Rs. 3.3 Cr ,4.3 aana,3500 Sq. Ft.,13 Feet,South-West,3.5,8,5,2079 B.S,1 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Parquet', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Marbel', 'Terrace', 'Lawn', 'Bathtub']"
3 BHK House for Sale,"Harisiddhi, Lalitpur",Rs. 2.7 Cr ,3.0 aana,,20 Feet,South,2.5,3,4,2070 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.25 Cr ,3.0 aana,,20 Feet,West,2.5,,,2072 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,4.1 aana,,13 Feet,South,2.5,5,5,2072 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Drinking Water', 'Power Backup', 'Bed Room', 'Dining Room', 'Bathroom', 'Living Room']"
Bungalow House for Rent,"Ganesh Chowk, Kathmandu",Rs. 1.5 Lac/m,11.0 aana,0 Sq. Ft.,14 Feet,East,2.5,5,5,2079 B.S,5 CaRs.  & 5 Bikes,"['Servant Quarter', 'Bathtub', 'Drinking Water', 'Parking', 'Garden', 'Fridge', 'Sofa', 'AirCon', 'Water Purifier', 'Washing Machine', 'Modular Kitchen']"
 House for Sale,"Mulpani, Kathmandu",Rs. 1.6 Cr ,2.2 aana,,12 Feet,East,2.5,5,3,2058 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
 House for Sale,"Bafal, Kathmandu",Rs. 4.7 Cr ,7.0 aana,,14 Feet,West,2.5,6,3,2072 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'CC Camera', 'Parking', 'Balcony', 'Reserve Tank', 'Drinking Water', 'Terrace', 'Bathroom', 'Modular Kitchen', 'Living Room']"
4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.1 aana,,13 Feet,South,2.5,4,4,2069 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.2 aana,,13 Feet,West,2.5,4,3,2069 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Sanepa, Lalitpur",Rs. 9 Cr ,7.2 aana,,13 Feet,South,2.5,6,4,2079 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
 House for Sale,"Khumaltar, Lalitpur",Rs. 6.5 Cr ,9.0 aana,,13 Feet,South-West,4.5,,,2079 B.S,3 CaRs.  & 10 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']"
 House for Sale,"Sitapaila, Kathmandu",Rs. 2.3 Cr ,4.0 aana,,12 Feet,North,3.5,9,3,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bathroom']"
 House for Sale,"Lainchaur, Kathmandu",Rs. 3.5 Cr ,8.0 aana,,8 Feet,South,2.5,8,4,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup']"
 House for Sale,"Greenhill City, Kathmandu",Rs. 2.7 Cr ,4.0 aana,,11 Feet,West,4.5,8,4,2076 B.S,,"['Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom', 'Bed Room', 'Living Room', 'Modular Kitchen']"
Villa House for Sale,"Sunakothi, Lalitpur",Rs. 8.5 Cr ,9.0 aana,4500 Sq. Ft.,20 Feet,South,2.5,5,7,2072 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn']"
Villa House for Sale,"Hattiban, Lalitpur",Rs. 7 Cr ,5.0 aana,2250 Sq. Ft.,20 Feet,North-West,2.5,5,4,2072 B.S,2 CaRs.  & 4 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Boring Water', 'Terrace', 'Reserve Tank']"
 House for Sale,"Hattiban, Lalitpur",Rs. 3.5 Cr ,3.3 aana,1518 Sq. Ft.,22 Feet,North-West,2.5,3,4,2072 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']"
 Commercial House for Sale,"Kamalpokhari, Kathmandu",Rs. 18 Cr ,7.3 aana,,20 Meter,North,5,12,6,2079 B.S,,"['Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Earthquake Resistant', 'Boring Water', 'Reserve Tank', 'Power Backup', 'Modular Kitchen', 'Bathroom', 'Bed Room']"
 Flat system house for Sale,"Lolang, Kathmandu",Rs. 1.8 Cr ,3.0 aana,,10 Feet,West,2.5,11,,2060 B.S,1 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Dhapakhel, Lalitpur",Rs. 2.5 Cr ,3.0 aana,1900 Sq. Ft.,16 Feet,North,2,6,3,2072 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room']"
 House for Sale,"Shantinagar, Kathmandu",Rs. 4.5 Cr ,3.0 aana,,13 Feet,South,2,9,4,2072 B.S,1 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Reserve Tank', 'Bed Room', 'Bathroom']"
Bungalow House for Sale,"Dakshindhoka, Kathmandu",Rs. 2.6 Cr,3.0 aana,,20 Feet,North-East,2.5,3,4,2076 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Power Backup', 'Parking', 'Drinking Water', 'Reserve Tank', 'Boring Water', 'Fridge', 'Sofa', 'Water Purifier', 'Washing Machine']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.45 Cr ,4.0 aana,,13 Feet,West,2.5,6,5,2073 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Power Backup', 'Drinking Water', 'Balcony', 'Parking', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bathroom']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.75 Cr ,5.0 aana,,14 Feet,South-West,2,6,5,2076 B.S,1 CaRs.  & 3 Bikes,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Dining Room', 'Bathroom', 'Living Room']"
 House for Sale,"Mhaipi, Kathmandu",Rs. 4.25 Cr ,5.1 aana,,20 Feet,North,2.5,4,,2072 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
Building for Rent,"Khichapokhari, Kathmandu",Rs. 1.5 Lac/m,0.0 aana,1500 Sq. Ft.,14 Feet,South,,,,2072 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Balcony', 'Parking', 'Drainage', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
4 BHK House for Rent,"Bhaisepati, Lalitpur",Rs. 1.55 Lac/m,16.0 aana,,20 Feet,South,2.5,4,4,2072 B.S,3 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Dadhikot, Bhaktapur",Rs. 3 Cr ,5.0 aana,,10 Feet,East,2.5,4,3,2075 B.S,2 CaRs.,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Boring Water', 'Power Backup']"
 House for Sale,"Mandikhatar, Kathmandu",Rs. 6.5 Cr ,8.0 aana,,13 Feet,North-East,2.5,6,3,2058 B.S,3 CaRs.  & 5 Bikes,"['Marbel', 'Drainage', 'Garden', 'Parking', 'Reserve Tank', 'Drinking Water', 'Boring Water', 'Terrace', 'Bathroom', 'Living Room', 'Modular Kitchen']"
 House for Sale,"Pasikot, Kathmandu",Rs. 3 Cr ,4.2 aana,900 Sq. Ft.,14 Feet,East,2.5,8,4,2058 B.S,1 CaRs.  & 3 Bikes,"['Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Modular Kitchen', 'Guest Room', 'Marbel', 'Drainage', 'Parking', 'Reserve Tank', 'Drinking Water']"
 House for Rent,"Kalanki, Kathmandu","Rs. 90,000 /m",14.0 aana,,20 Feet,,5,10,5,2070 B.S,6 CaRs.  & 6 Bikes,"['Marbel', 'Drainage', 'Parking', 'Reserve Tank', 'Drinking Water', 'Bed Room', 'Bathroom', 'Modular Kitchen']"
 House for Sale,"Lolang, Kathmandu",Rs. 1.75 Cr ,3.0 aana,,12 Feet,South-East,2.5,11,3,2070 B.S,,"['Marbel', 'Drainage', 'Parking', 'Boring Water', 'Reserve Tank', 'Terrace', 'Bed Room', 'Bathroom', 'Modular Kitchen']"
 House for Sale,"Satungal, Kathmandu",Rs. 2.95 Cr ,4.2 aana,2165 Sq. Ft.,13 Feet,North-West,2.5,4,4,2072 B.S,2 CaRs.,"['Drainage', 'Marbel', 'Parking', 'Drinking Water', 'Boring Water', 'Reserve Tank', 'Bed Room', 'Bathroom', 'Living Room', 'Prayer Room', 'Master Bedroom']"
 House for Sale,"Dhapakhel, Lalitpur",Rs. 4.3 Cr ,6.0 aana,,13 Feet,North,3,6,4,2058 B.S,3 CaRs.,"['Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Boring Water', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
Furnished House for Rent,"Dhapasi, Kathmandu",Rs. 2 Lac/m,16.0 aana,0 Sq. Ft.,14 Feet,East,2,3,5,2070 B.S,7 CaRs.  & 9 Bikes,"['Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Servant Quarter', 'Fridge', 'Sofa', 'Water Purifier', 'Washing Machine', 'Modular Kitchen']"
Bungalow for Rent,"Dhapasi, Kathmandu",Rs. 2 Lac/m,32.0 aana,,14 Feet,East,2,4,3,2070 B.S,5 CaRs.  & 5 Bikes,"['Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Sofa', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water']"
4 BHK House for Rent,"Maharajgunj, Kathmandu",Rs. 1.5 Lac/m,9.0 aana,0 Sq. Ft.,13 Feet,East,2,4,3,2058 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Drainage', 'Parking', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom']"
4 BHK House for Rent,"Bhaisepati, Lalitpur","Rs. 82,000 /m",0.0 aana,1368 Sq. Ft.,,East,2.5,4,4,2078 B.S,1 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.1 Cr ,3.1 aana,,13 Feet,East,2.5,6,5,2076 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bathroom', 'Modular Kitchen', 'Living Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 4.5 Cr ,6.3 aana,,13 Feet,South,3,7,7,2073 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Drainage', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.65 Cr ,3.0 aana,,13 Feet,South,2.5,5,4,2076 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,3.2 aana,,13 Feet,South,2.5,5,4,2072 B.S,3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room']"
Bungalow House for Sale,"Greenland Chowk, Kathmandu",Rs. 3.75 Cr ,5.0 aana,,20 Feet,South-East,2,5,4,2072 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 15 Cr ,10.0 aana,,13 Feet,East,2.5,5,4,2072 B.S,3 CaRs.  & 6 Bikes,"['Swimming Pool', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Reserve Tank', 'Boring Water', 'Terrace']"
 Modern house for Sale,"Italitar, Kathmandu",Rs. 10.5 Cr ,11.0 aana,,20 Feet,North-East,2.5,5,6,2075 B.S,3 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Boring Water', 'Power Backup', 'Dining Room']"
4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.55 Cr ,3.0 aana,,13 Feet,South,2.5,4,4,2058 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Modular Kitchen']"
 House for Sale,"Sanagaun, Lalitpur",Rs. 2.25 Cr ,2.3 aana,,20 Feet,South,2.5,5,3,2068 B.S,,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']"
5 BHK house for Sale at Balkumari,"Balkumari, Lalitpur",Rs. 10.5 Cr ,12.0 aana,,20 Feet,North,2.5,6,5,2058 B.S,3 CaRs.  & 5 Bikes,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Living Room', 'Modular Kitchen', 'Terrace']"
Bungalow House for Sale,"Panchetar, Kathmandu",Price on call,4.0 aana,2000 Sq. Ft.,20 Feet,West,2.5,4,5,2079 B.S,1 CaRs.  & 2 Bikes,"['Sofa', 'AirCon', 'Fridge', 'TV', 'MiCrowave', 'Dining Room', 'Bed Room', 'Store Room', 'Marbel', 'CC Camera', 'Power Backup']"
 House for Sale,"Tikathali, Lalitpur",Rs. 2.85 Cr ,3.0 aana,,13 Feet,East,2.5,9,4,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
 House for Sale,"Budhanilkantha, Kathmandu",Price on call,11.0 aana,,20 Feet,North-East,2.5,5,5,2072 B.S,3 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']"
 House for Sale,"Lazimpat, Kathmandu",Price on call,10.0 aana,,24 Feet,West,2.5,5,6,2075 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Parking', 'Drinking Water', 'Balcony', 'Garden', 'Terrace', 'Power Backup', 'Bathtub', 'Dining Room']"
4 BHK House for Sale,"Maharajgunj, Kathmandu",Rs. 12.5 Cr ,10.0 aana,,20 Feet,East,2.5,4,4,2058 B.S,3 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Deuwa Chowk, Kathmandu",Rs. 6 Cr ,6.0 aana,,13 Feet,West,2.5,8,5,2068 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Bed Room']"
 House for Sale,"Kageshwori, Kathmandu",Rs. 1.65 Cr ,2.2 aana,,13 Feet,East,2,3,3,2070 B.S,1 CaRs.,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Bed Room']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.35 Cr ,4.0 aana,,13 Feet,North,3,10,5,2058 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Terrace']"
 House for Sale in Suryadarshan Height,"SuryadaRs.han Height, Kathmandu",Rs. 3.5 Cr ,5.0 aana,3303 Sq. Ft.,11 Feet,South-East,3.5,6,4,2075 B.S,2 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Attic', 'Water Well', 'Modular Kitchen']"
 House for Sale,"Wasik, Kathmandu",Rs. 2.75 Cr ,5.0 aana,,13 Feet,West,2,9,4,2070 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Living Room', 'Modular Kitchen', 'Bed Room', 'Bathroom']"
 House for Rent,"Bhaisepati, Lalitpur",Rs. 1.3 Lac/m,13.0 aana,,14 Feet,East,2.5,7,5,2070 B.S,3 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Drainage', 'Power Backup', 'Garden', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Dining Room', 'Bathroom', 'Living Room']"
 Commercial building for Sale in New road,"New Road, Kathmandu",Price on call,1.0 aana,,35 Feet,South,5,12,5,2076 B.S,,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Boring Water', 'Marbel']"
 House for Rent,"Hattisar, Kathmandu",Rs. 2.5 Lac/m,14.0 aana,,14 Feet,,2.5,8,3,2072 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Bathroom', 'Bed Room', 'Living Room', 'Modular Kitchen']"
 House for Sale,"Bojepokhari, Lalitpur",Rs. 2.25 Cr ,3.0 aana,,13 Feet,North,2.5,7,3,2072 B.S,3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']"
